ID;Name;Address
1;Harvard University;Cambridge, MA 02138
2;Stanford University;450 Serra Mall Stanford, CA 94305
3;Massachusetts Institute of Technology (MIT);77 Massachusetts Ave, Cambridge, MA 02139
4;California Institute of Technology (Caltech);1200 E California Blvd, Pasadena, CA 91125
5;University of Oxford;University Offices, Wellington Square, Oxford OX1 2JD, UK
6;Columbia University;116th St & Broadway, New York, NY 10027
7;University of Cambridge;The Old Schools, Trinity Ln, Cambridge CB2 1TN, UK
8;University of Chicago;5801 S Ellis Ave, Chicago, IL 60637
9;Yale University;New Haven, CT 06520
10;Princeton University;Princeton, NJ 08544